,Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
28,3,DGY1886_1,98.48,0.71,0.06,0.0009,0.0024,0.9958
29,3,DGY1886_2,99.03,0.5,0.0,0.0006,0.0012,0.9976
30,3,DGY1886_3,98.38,0.64,0.03,0.0003,0.0013,0.9984000000000001
31,3,DGY1886_4,98.66,0.7,0.0,0.0013,0.0025,0.9954999999999999
52,3,DGY2748_1,0.47,9.18,88.22,0.011200000000000002,0.0239,0.9612999999999999
53,3,DGY2748_2,0.49,2.88,94.38,0.0089,0.0292,0.9605
54,3,DGY2748_3,0.71,3.6,94.13,0.014499999999999999,0.0276,0.9553
55,3,DGY2748_4,1.04,3.36,93.73,0.0158,0.0288,0.9521999999999999
56,3,DGY2750_1,0.36,2.51,96.24,0.0159,0.0161,0.9662000000000001
57,3,DGY2750_3,0.89,5.12,92.81,0.0329,0.0379,0.9227
58,3,DGY2751_1,0.81,1.56,96.97,0.015,0.0069,0.9769
59,3,DGY2751_2,0.28,1.28,98.28,0.012199999999999999,0.0086,0.9778
60,3,DGY2751_3,0.21,1.85,97.7,0.0137,0.0111,0.9745999999999999
61,3,DGY2751_4,0.25,1.27,98.22,0.0121,0.005699999999999999,0.9809
62,3,DGY2755_1,0.09,4.25,93.42,0.0111,0.1303,0.8504999999999999
63,3,DGY2755_2,0.35,3.16,95.21,0.0121,0.0111,0.9732999999999999
64,3,DGY2755_3,0.35,3.1,95.7,0.0144,0.016200000000000003,0.9669
65,3,DGY2755_4,0.28,2.57,95.74,0.0063,0.009899999999999999,0.9814
98,21,DGY1886_1,88.09,8.49,2.53,0.009399999999999999,0.0131,0.9765999999999999
99,21,DGY1886_2,90.08,6.84,1.52,0.0127,0.0137,0.9711
100,21,DGY1886_3,93.21,4.35,0.75,0.0105,0.0095,0.9784999999999999
101,21,DGY1886_4,96.02,2.14,0.6,0.008,0.009000000000000001,0.9811
122,21,DGY2748_1,1.95,50.43,44.65,0.008100000000000001,0.0874,0.9349
123,21,DGY2748_2,1.36,30.0,64.25,0.008100000000000001,0.1272,0.9020999999999999
124,21,DGY2748_3,1.82,31.76,61.66,0.011699999999999999,0.1245,0.9039
125,21,DGY2748_4,6.52,26.17,64.37,0.0616,0.0901,0.8759999999999999
126,21,DGY2750_1,2.7,23.15,70.51,0.0172,0.1027,0.8941
127,21,DGY2750_3,1.51,20.83,74.9,0.0106,0.1094,0.9015000000000001
128,21,DGY2751_1,1.46,9.55,86.08,0.0091,0.0823,0.9448000000000001
129,21,DGY2751_2,1.44,7.77,88.18,0.0077,0.0759,0.9495
130,21,DGY2751_3,0.83,7.18,89.16,0.005,0.0635,0.9654
131,21,DGY2751_4,0.88,6.0,90.87,0.0063,0.0449,0.9672
132,21,DGY2755_1,2.06,24.22,71.17,0.0127,0.2437,0.7518
133,21,DGY2755_2,2.52,23.22,71.57,0.0124,0.071,0.9259999999999999
134,21,DGY2755_3,2.34,25.77,68.77,0.0121,0.08220000000000001,0.9178000000000001
135,21,DGY2755_4,2.29,22.25,72.32,0.012199999999999999,0.0788,0.9196
168,33,DGY1886_1,99.97,0.0,0.03,0.001,0.0116,0.987
169,33,DGY1886_2,99.91,0.06,0.03,0.0019,0.013600000000000001,0.9839
170,33,DGY1886_3,99.84,0.1,0.0,0.0026,0.016,0.981
171,33,DGY1886_4,99.85,0.08,0.04,0.0012,0.0108,0.9876
192,33,DGY2748_1,3.13,67.97,28.63,0.0040999999999999995,0.0464,0.9559000000000001
193,33,DGY2748_2,1.71,36.26,60.3,0.0044,0.0776,0.9201999999999999
194,33,DGY2748_3,1.59,38.79,57.04,0.0072,0.0785,0.9193000000000001
195,33,DGY2748_4,6.51,45.9,45.27,0.025,0.1027,0.8809999999999999
196,33,DGY2750_1,1.62,32.16,64.46,0.0067,0.1252,0.8676
197,33,DGY2750_3,1.62,37.54,58.49,0.0072,0.1911,0.8073
198,33,DGY2751_1,1.01,5.42,92.55,0.0055000000000000005,0.0245,0.9743
199,33,DGY2751_2,1.04,5.0,92.36,0.0038,0.029900000000000003,0.9686
200,33,DGY2751_3,1.31,6.15,91.16,0.0083,0.032,0.9628
201,33,DGY2751_4,1.14,4.46,93.6,0.0087,0.0235,0.9688
202,33,DGY2755_1,5.5,39.18,53.78,0.049400000000000006,0.2365,0.7152
203,33,DGY2755_2,1.91,42.98,53.48,0.0083,0.059000000000000004,0.9311
204,33,DGY2755_3,2.39,44.26,51.91,0.0104,0.0722,0.9165000000000001
205,33,DGY2755_4,1.98,39.15,57.66,0.009399999999999999,0.07150000000000001,0.9174
238,45,DGY1886_1,99.91,0.0,0.0,0.003,0.0191,0.9803000000000001
239,45,DGY1886_2,99.91,0.0,0.09,0.0012,0.022799999999999997,0.9765999999999999
240,45,DGY1886_3,99.96,0.0,0.04,0.0022,0.0078000000000000005,0.9903
241,45,DGY1886_4,99.88,0.08,0.0,0.0016,0.0141,0.9843999999999999
262,45,DGY2748_1,2.93,86.69,10.78,0.0034000000000000002,0.0723,0.9459000000000001
